,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
477,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Always
478,I don't know,I am not sure,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Sometimes
479,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,No,No,I don't know,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,0,Rarely,Sometimes,30,Female,United States of America,Sometimes
480,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat open,N/A,,Yes,Yes,No,No,0,Not applicable to me,Not applicable to me,42,Male,United States of America,Sometimes
481,Yes,No,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,52,Male,United States of America,Sometimes
482,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,Maybe,Very open,No,,I don't know,Yes,Yes,No,1,Rarely,Sometimes,35,Male,United States of America,Sometimes
483,I don't know,No,No,No,I don't know,I don't know,No,No,Maybe,No,No,No,"No, at none of my previous employers","Yes, I think it would","No, I don't think they would",Somewhat open,No,,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,24,Male,United States of America,Sometimes
484,I don't know,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Sometimes
485,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,Yes,Yes,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,Sometimes
486,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),N/A,,Yes,No,No,No,1,Not applicable to me,Not applicable to me,32,Male,United States of America,Always
487,Yes,No,No,I don't know,Yes,Very difficult,No,No,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Not open at all,Maybe/Not sure,No,No,No,No,No,1,Not applicable to me,Not applicable to me,39,Male,United States of America,Sometimes
488,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","No, I don't think they would",Very open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,0,Never,Sometimes,35,Male,United States of America,Always
489,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Some of my previous employers,Maybe,"No, they do not",Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Often,34,Male,United States of America,Sometimes
490,Yes,Yes,No,I don't know,Yes,Somewhat easy,Yes,Maybe,Yes,Yes,No,Yes,"Yes, at all of my previous employers","Yes, it has","Yes, they do",Very open,"Yes, I experienced",Yes,I don't know,Yes,Yes,Yes,1,Sometimes,Often,26,Female,United States of America,Always
491,I don't know,I am not sure,Yes,Yes,I don't know,Very difficult,Yes,No,No,No,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,27,Female,United States of America,Sometimes
492,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,No,Yes,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,Yes,Yes,No,1,Never,Sometimes,25,Male,United States of America,Never
493,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat not open,N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Sometimes
494,No,I am not sure,Yes,I don't know,Yes,Somewhat difficult,Yes,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,No,Yes,Yes,Yes,1,Sometimes,Often,34,Male,United States of America,Sometimes
495,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,No,Maybe,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Maybe,Yes,1,Sometimes,Often,33,Male,United States of America,Sometimes
496,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Often,Often,50,Male,United States of America,Sometimes
497,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,54,Female,United States of America,Sometimes
498,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,No,No,No,0,Not applicable to me,Not applicable to me,36,Male,United States of America,Sometimes
499,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Maybe,No,1,Sometimes,Often,31,Female,United States of America,Sometimes
500,No,N/A,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Some of my previous employers,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Maybe,Yes,Yes,Maybe,Yes,1,Never,Rarely,36,Male,United States of America,Never
501,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,I don't know,"Yes, I think it would",Maybe,Somewhat not open,No,,I don't know,No,No,No,0,Sometimes,Often,48,Male,United States of America,Sometimes
502,I don't know,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers",Maybe,"Yes, they do",Not open at all,No,,Yes,Yes,Maybe,Yes,1,Sometimes,Sometimes,31,Male,United States of America,Never
503,No,N/A,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Always
504,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,Yes,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Always
505,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Male,United States of America,Always
506,Not eligible for coverage / N/A,N/A,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,Yes,No,Yes,Yes,1,Rarely,Often,28,Female,United States of America,Sometimes
507,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,Maybe,No,No,"Yes, at all of my previous employers","Yes, I think it would",Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,33,Female,United States of America,Sometimes
508,,,,,,,,,,,,,I don't know,Maybe,"No, I don't think they would",Neutral,No,,Yes,Yes,No,Yes,1,Not applicable to me,Not applicable to me,33,Male,United States of America,Never
509,,,,,,,,,,,,,Some of my previous employers,"Yes, it has","Yes, they do",Somewhat open,Maybe/Not sure,Yes,No,Yes,Yes,Yes,1,Sometimes,Often,59,Male,United States of America,Always
510,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,United States of America,Sometimes
511,I don't know,No,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Yes,Some of my previous employers,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,I don't know,Maybe,Maybe,Yes,1,Rarely,Rarely,37,Male,United States of America,Always
512,No,No,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,"Yes, at all of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,No,No,Maybe,No,0,Never,Never,39,Male,United States of America,Always
513,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,34,Female,United States of America,Never
514,Yes,Yes,No,Yes,No,Very easy,Yes,No,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Maybe,Maybe,Yes,0,Rarely,Often,39,Male,United States of America,Sometimes
515,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,Some of my previous employers,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,No,Yes,1,Sometimes,Sometimes,46,Male,United States of America,Sometimes
516,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat open,No,,No,No,Maybe,No,0,Rarely,Sometimes,28,Male,United States of America,Sometimes
517,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Sometimes,Often,65,Female,United States of America,Sometimes
518,,,,,,,,,,,,,"Yes, at all of my previous employers","No, I don't think it would",Maybe,Very open,No,,Yes,Yes,Maybe,Yes,1,Sometimes,Never,37,Male,United States of America,Always
519,,,,,,,,,,,,,,Maybe,"No, I don't think they would",Somewhat open,N/A,,I don't know,Maybe,No,No,1,Rarely,Sometimes,41,Female,United States of America,Sometimes
520,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,N/A,,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,38,Male,United States of America,Sometimes
521,I don't know,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers","Yes, it has","No, they do not",Somewhat open,"Yes, I experienced",Yes,No,Yes,Yes,Yes,1,Sometimes,Often,51,Male,United States of America,Sometimes
522,I don't know,No,No,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,29,Male,United States of America,Sometimes
523,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Maybe,I don't know,Yes,Maybe,Yes,1,Sometimes,Often,35,Male,United States of America,Never
524,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,N/A,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Always
525,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Yes,No,No,No,No,1,Not applicable to me,Not applicable to me,63,Male,United States of America,Always
526,,,,,,,,,,,,,Some of my previous employers,Maybe,"Yes, they do",Somewhat open,"Yes, I observed",Maybe,No,Yes,Yes,Yes,1,Rarely,Often,47,Female,United States of America,Always
527,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,Yes,I don't know,No,"No, at none of my previous employers","No, I don't think it would",Maybe,Not open at all,Maybe/Not sure,No,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,27,Male,United States of America,Never
528,I don't know,No,No,Yes,Yes,I don't know,No,No,No,Yes,Yes,Yes,"No, at none of my previous employers","Yes, it has","No, I don't think they would",Somewhat not open,No,,Yes,Yes,Yes,No,0,Not applicable to me,Often,40,Female,United States of America,Always
529,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,43,Female,United States of America,Always
530,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,United States of America,Sometimes
531,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,31,Male,United States of America,Sometimes
532,,,,,,,,,,,,,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat not open,No,,No,Yes,Yes,Yes,1,Rarely,Sometimes,37,Female,United States of America,Never
533,,,,,,,,,,,,,I don't know,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,Maybe,No,1,Sometimes,Sometimes,30,Female,United States of America,Always
534,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,,"Yes, I think it would",Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,24,Male,United States of America,Never
535,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,Maybe,I don't know,No,I don't know,Maybe,Maybe,Not open at all,No,,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,28,Male,United States of America,Sometimes
536,No,Yes,No,No,No,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Very open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,21,Genderqueer/Other,United States of America,Always
537,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,,Maybe,Maybe,Somewhat open,No,,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
538,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Female,United States of America,Sometimes
539,Yes,I am not sure,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,I don't know,Yes,Some of my previous employers,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Never
540,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,32,Male,United States of America,Never
541,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Maybe,No,1,Sometimes,Sometimes,27,Male,United States of America,Always
542,Yes,No,No,Yes,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat not open,No,,Yes,No,No,No,0,Rarely,Rarely,38,Male,United States of America,Always
543,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,Some of my previous employers,"Yes, it has","No, I don't think they would",Very open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,38,Male,United States of America,Sometimes
544,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,Maybe,No,Yes,Some of my previous employers,"Yes, it has",Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Maybe,Yes,1,Rarely,Often,40,Female,United States of America,Sometimes
545,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Very open,No,,No,Yes,Yes,Yes,1,Never,Sometimes,39,Male,United States of America,Always
546,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Not open at all,No,,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,28,Male,United States of America,Never
547,I don't know,No,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Sometimes
548,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,32,Male,United States of America,Always
549,Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Maybe,Yes,No,,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,0,Rarely,Sometimes,32,Male,United States of America,Never
550,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,No,,Yes,Yes,Maybe,Yes,1,Sometimes,Often,27,Male,United States of America,Never
551,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Never
552,Yes,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Sometimes
553,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Maybe,Maybe,I don't know,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Never
554,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Maybe,No,No,I don't know,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,No,Yes,No,0,Never,Rarely,34,Male,United States of America,Sometimes
555,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,44,Female,United States of America,Always
556,Yes,I am not sure,No,No,I don't know,Very easy,No,No,Yes,Maybe,No,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Very open,No,,No,Yes,No,No,1,Sometimes,Often,42,Male,United States of America,Always
557,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Always
558,Yes,No,No,No,No,Somewhat difficult,Yes,No,Maybe,Yes,No,No,,Maybe,Maybe,Very open,No,,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,55,Male,United States of America,Never
559,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,46,Male,United States of America,Sometimes
560,Yes,Yes,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","No, they do not",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,33,Male,United States of America,Sometimes
561,Yes,I am not sure,No,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,30,Male,United States of America,Sometimes
562,Yes,Yes,No,Yes,I don't know,I don't know,Yes,Maybe,No,No,I don't know,Yes,Some of my previous employers,"Yes, it has",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,Maybe,No,1,Rarely,Often,31,Female,United States of America,Never
563,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,Yes,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Very open,"Yes, I experienced",N/A,Yes,Yes,Yes,Yes,1,Never,Often,32,Male,United States of America,Sometimes
564,Yes,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Never,Sometimes,47,Male,United States of America,Sometimes
565,I don't know,I am not sure,No,No,I don't know,Very difficult,Yes,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,N/A,,Yes,Yes,Yes,Yes,1,Sometimes,Often,35,Male,United States of America,Sometimes
566,Yes,Yes,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No,"Yes, at all of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Sometimes,Often,36,Male,United States of America,Sometimes
567,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,No,No,Maybe,Yes,No,,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Female,United States of America,Always
568,I don't know,I am not sure,Yes,No,Yes,I don't know,Maybe,No,Maybe,No,I don't know,Yes,Some of my previous employers,"Yes, I think it would",Maybe,Very open,"Yes, I observed",Yes,I don't know,Yes,Maybe,No,1,Sometimes,Often,30,Male,United States of America,Sometimes
569,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,33,Male,United States of America,Sometimes
570,I don't know,I am not sure,I don't know,I don't know,I don't know,I don't know,Yes,No,Maybe,No,I don't know,No,Some of my previous employers,Maybe,Maybe,Not open at all,N/A,,Yes,Yes,Yes,No,0,Not applicable to me,Not applicable to me,22,Male,United States of America,Never
571,,,,,,,,,,,,,I don't know,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,N/A,No,Yes,Maybe,Yes,1,Not applicable to me,Sometimes,35,Male,United States of America,Always
572,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,I don't know,No,No,No,1,Never,Rarely,26,Male,United States of America,Never
573,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers","No, I don't think it would","No, I don't think they would",Very open,No,,No,Maybe,Maybe,No,1,Rarely,Sometimes,34,Male,United States of America,Always
574,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,Maybe,Neutral,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Sometimes
575,,,,,,,,,,,,,,Maybe,Maybe,Very open,No,,I don't know,Yes,Yes,Yes,1,Sometimes,Often,20,Male,United States of America,Sometimes
576,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Very open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Often,Often,30,Female,United States of America,Sometimes
577,Yes,I am not sure,Yes,Yes,I don't know,Somewhat difficult,No,No,No,Maybe,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Sometimes
578,Yes,Yes,I don't know,I don't know,Yes,Neither easy nor difficult,Maybe,No,Maybe,Yes,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Always
579,Yes,No,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,No,"Yes, at all of my previous employers","Yes, I think it would",Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Sometimes
580,No,I am not sure,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Neutral,No,,I don't know,Yes,Maybe,No,0,Sometimes,Sometimes,29,Male,United States of America,Never
581,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Always
582,I don't know,No,No,I don't know,Yes,Somewhat difficult,Maybe,No,No,No,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,N/A,,Yes,Maybe,Yes,No,0,Rarely,Sometimes,30,Male,United States of America,Never
583,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Never,Often,38,Male,United States of America,Always
584,No,N/A,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,I don't know,Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,24,Male,United States of America,Always
